1D	photolysis rate of ozone to 1D oxygen atom
across	northward atmosphere water vapor transport across unit distance
across	northward water vapor transport across unit distance in atmosphere layer
across	ocean volume transport across line
across	sea ice transport across line
across	sea water transport across line
adiabatically	temperature difference between ambient air and air lifted adiabatically
adiabatically	temperature difference between ambient air and air lifted adiabatically from the surface
adjusted	toa adjusted longwave forcing
adjusted	toa adjusted radiative forcing
adjusted	toa adjusted shortwave forcing
adjusted	tropopause adjusted longwave forcing
adjusted	tropopause adjusted radiative forcing
adjusted	tropopause adjusted shortwave forcing
adjustment	bedrock altitude change due to isostatic adjustment
advection	change over time in atmosphere mass content of water due to advection
advection	magnitude of heat flux in sea water due to advection
advection	northward heat flux in air due to eddy advection
advection	northward ocean freshwater transport due to parameterized eddy advection
advection	northward ocean heat transport due to parameterized eddy advection
advection	northward ocean heat transport due to parameterized mesoscale eddy advection
advection	northward ocean heat transport due to parameterized submesoscale eddy advection
advection	northward ocean salt transport due to parameterized eddy advection
advection	ocean heat x transport due to parameterized eddy advection
advection	ocean heat y transport due to parameterized eddy advection
advection	ocean mass x transport due to advection
advection	ocean mass x transport due to advection and parameterized eddy advection
advection	ocean mass y transport due to advection
advection	ocean mass y transport due to advection and parameterized eddy advection
advection	ocean meridional overturning mass streamfunction due to parameterized eddy advection
advection	ocean meridional overturning mass streamfunction due to parameterized mesoscale eddy advection
advection	ocean meridional overturning mass streamfunction due to parameterized submesoscale eddy advection
advection	ocean tracer biharmonic diffusivity due to parameterized mesoscale eddy advection
advection	ocean tracer diffusivity due to parameterized mesoscale eddy advection
advection	ocean tracer laplacian diffusivity due to parameterized mesoscale eddy advection
advection	ocean y overturning mass streamfunction due to parameterized eddy advection
advection	ocean y overturning mass streamfunction due to parameterized mesoscale eddy advection
advection	ocean y overturning mass streamfunction due to parameterized submesoscale eddy advection
advection	tendency of air temperature due to advection
advection	tendency of atmosphere enthalpy content due to advection
advection	tendency of atmosphere kinetic energy content due to advection
advection	tendency of atmosphere mass content of water due to advection
advection	tendency of atmosphere mass content of water vapor due to advection
advection	tendency of atmosphere mass per unit area due to advection
advection	tendency of atmosphere potential energy content due to advection
advection	tendency of eastward wind due to advection
advection	tendency of enthalpy content of atmosphere layer due to advection
advection	tendency of kinetic energy content of atmosphere layer due to advection
advection	tendency of mass fraction of cloud condensed water in air due to advection
advection	tendency of mass fraction of cloud ice in air due to advection
advection	tendency of mass fraction of cloud liquid water in air due to advection
advection	tendency of mass fraction of stratiform cloud condensed water in air due to advection
advection	tendency of mass fraction of stratiform cloud ice in air due to advection
advection	tendency of mass fraction of stratiform cloud liquid water in air due to advection
advection	tendency of northward wind due to advection
advection	tendency of ocean eddy kinetic energy content due to parameterized eddy advection
advection	tendency of potential energy content of atmosphere layer due to advection
advection	tendency of sea water conservative temperature expressed as heat content due to parameterized eddy advection
advection	tendency of sea water conservative temperature expressed as heat content due to parameterized mesoscale eddy advection
advection	tendency of sea water conservative temperature expressed as heat content due to parameterized submesoscale eddy advection
advection	tendency of sea water conservative temperature expressed as heat content due to residual mean advection
advection	tendency of sea water potential temperature expressed as heat content due to parameterized eddy advection
advection	tendency of sea water potential temperature expressed as heat content due to parameterized mesoscale eddy advection
advection	tendency of sea water potential temperature expressed as heat content due to parameterized submesoscale eddy advection
advection	tendency of sea water potential temperature expressed as heat content due to residual mean advection
advection	tendency of sea water salinity due to advection
advection	tendency of sea water salinity due to parameterized eddy advection
advection	tendency of sea water salinity expressed as salt content due to parameterized eddy advection
advection	tendency of sea water salinity expressed as salt content due to parameterized mesoscale eddy advection
advection	tendency of sea water salinity expressed as salt content due to parameterized submesoscale eddy advection
advection	tendency of sea water salinity expressed as salt content due to residual mean advection
advection	tendency of sea water temperature due to advection
advection	tendency of sea water temperature due to parameterized eddy advection
advection	tendency of specific humidity due to advection
advection	tendency of upward air velocity due to advection
advection	x heat flux in sea water due to advection
advection	y heat flux in sea water due to advection
aerodynamic	aerodynamic particle diameter
aerodynamic	aerodynamic resistance
aerosol	ambient aerosol particle diameter
aerosol	angstrom exponent of ambient aerosol in air
aerosol	atmosphere absorption optical thickness due to ambient aerosol particles
aerosol	atmosphere absorption optical thickness due to black carbon ambient aerosol
aerosol	atmosphere absorption optical thickness due to dust ambient aerosol particles
aerosol	atmosphere absorption optical thickness due to particulate organic matter ambient aerosol particles
aerosol	atmosphere absorption optical thickness due to sea salt ambient aerosol particles
aerosol	atmosphere absorption optical thickness due to sulfate ambient aerosol particles
aerosol	atmosphere mass content of ammonium dry aerosol particles
aerosol	atmosphere mass content of dust dry aerosol particles
aerosol	atmosphere mass content of elemental carbon dry aerosol particles
aerosol	atmosphere mass content of mercury dry aerosol particles
aerosol	atmosphere mass content of nitrate dry aerosol particles
aerosol	atmosphere mass content of nitric acid trihydrate ambient aerosol particles
aerosol	atmosphere mass content of particulate organic matter dry aerosol particles
aerosol	atmosphere mass content of primary particulate organic matter dry aerosol particles
aerosol	atmosphere mass content of sea salt dry aerosol particles
aerosol	atmosphere mass content of sea salt dry aerosol particles expressed as cations
aerosol	atmosphere mass content of secondary particulate organic matter dry aerosol particles
aerosol	atmosphere mass content of sulfate ambient aerosol particles
aerosol	atmosphere mass content of sulfate dry aerosol particles
aerosol	atmosphere mass content of sulfate dry aerosol particles expressed as sulfur
aerosol	atmosphere mass content of water in ambient aerosol particles
aerosol	atmosphere moles of nitric acid trihydrate ambient aerosol particles
aerosol	atmosphere number content of aerosol particles
aerosol	atmosphere optical thickness due to ambient aerosol particles
aerosol	atmosphere optical thickness due to ammonium ambient aerosol particles
aerosol	atmosphere optical thickness due to black carbon ambient aerosol
aerosol	atmosphere optical thickness due to dust ambient aerosol particles
aerosol	atmosphere optical thickness due to dust dry aerosol particles
aerosol	atmosphere optical thickness due to nitrate ambient aerosol particles
aerosol	atmosphere optical thickness due to particulate organic matter ambient aerosol particles
aerosol	atmosphere optical thickness due to pm1 ambient aerosol particles
aerosol	atmosphere optical thickness due to pm10 ambient aerosol particles
aerosol	atmosphere optical thickness due to pm2p5 ambient aerosol particles
aerosol	atmosphere optical thickness due to sea salt ambient aerosol particles
aerosol	atmosphere optical thickness due to sulfate ambient aerosol particles
aerosol	atmosphere optical thickness due to water in ambient aerosol particles
aerosol	mass concentration of ammonium dry aerosol particles in air
aerosol	mass concentration of biomass burning dry aerosol in air
aerosol	mass concentration of coarse mode ambient aerosol particles in air
aerosol	mass concentration of dust dry aerosol particles in air
aerosol	mass concentration of elemental carbon dry aerosol particles in air
aerosol	mass concentration of mercury dry aerosol particles in air
aerosol	mass concentration of nitrate dry aerosol particles in air
aerosol	mass concentration of nitric acid trihydrate ambient aerosol particles in air
aerosol	mass concentration of particulate organic matter dry aerosol particles in air
aerosol	mass concentration of pm1 ambient aerosol particles in air
aerosol	mass concentration of pm10 ambient aerosol particles in air
aerosol	mass concentration of pm10 sea salt dry aerosol particles expressed as cations in air
aerosol	mass concentration of pm10 sea salt dry aerosol particles in air
aerosol	mass concentration of pm2p5 ambient aerosol particles in air
aerosol	mass concentration of pm2p5 sea salt dry aerosol particles expressed as cations in air
aerosol	mass concentration of pm2p5 sea salt dry aerosol particles in air
aerosol	mass concentration of primary particulate organic matter dry aerosol particles in air
aerosol	mass concentration of sea salt dry aerosol particles expressed as cations in air
aerosol	mass concentration of sea salt dry aerosol particles in air
aerosol	mass concentration of secondary particulate organic matter dry aerosol particles in air
aerosol	mass concentration of sulfate ambient aerosol particles in air
aerosol	mass concentration of sulfate dry aerosol particles in air
aerosol	mass concentration of water in ambient aerosol particles in air
aerosol	mass fraction of ammonium dry aerosol particles in air
aerosol	mass fraction of dust dry aerosol particles in air
aerosol	mass fraction of elemental carbon dry aerosol particles in air
aerosol	mass fraction of mercury dry aerosol in air
aerosol	mass fraction of methanesulfonic acid dry aerosol particles in air
aerosol	mass fraction of nitrate dry aerosol particles in air
aerosol	mass fraction of nitric acid trihydrate ambient aerosol particles in air
aerosol	mass fraction of particulate organic matter dry aerosol particles expressed as carbon in air
aerosol	mass fraction of particulate organic matter dry aerosol particles in air
aerosol	mass fraction of pm1 ambient aerosol particles in air
aerosol	mass fraction of pm1 dry aerosol particles in air
aerosol	mass fraction of pm10 ambient aerosol particles in air
aerosol	mass fraction of pm10 ammonium dry aerosol particles in air
aerosol	mass fraction of pm10 dry aerosol particles in air
aerosol	mass fraction of pm10 dust dry aerosol particles in air
aerosol	mass fraction of pm10 elemental carbon dry aerosol particles in air
aerosol	mass fraction of pm10 nitrate dry aerosol particles in air
aerosol	mass fraction of pm10 particulate organic matter dry aerosol particles expressed as carbon in air
aerosol	mass fraction of pm10 particulate organic matter dry aerosol particles in air
aerosol	mass fraction of pm10 primary particulate organic matter dry aerosol particles in air
aerosol	mass fraction of pm10 sea salt dry aerosol particles expressed as cations in air
aerosol	mass fraction of pm10 sea salt dry aerosol particles in air
aerosol	mass fraction of pm10 sulfate dry aerosol particles in air
aerosol	mass fraction of pm2p5 ambient aerosol particles in air
aerosol	mass fraction of pm2p5 ammonium dry aerosol particles in air
aerosol	mass fraction of pm2p5 dry aerosol particles in air
aerosol	mass fraction of pm2p5 dust dry aerosol particles in air
aerosol	mass fraction of pm2p5 elemental carbon dry aerosol particles in air
aerosol	mass fraction of pm2p5 nitrate dry aerosol particles in air
aerosol	mass fraction of pm2p5 particulate organic matter dry aerosol particles expressed as carbon in air
aerosol	mass fraction of pm2p5 particulate organic matter dry aerosol particles in air
aerosol	mass fraction of pm2p5 primary particulate organic matter dry aerosol particles in air
aerosol	mass fraction of pm2p5 sea salt dry aerosol particles expressed as cations in air
aerosol	mass fraction of pm2p5 sea salt dry aerosol particles in air
aerosol	mass fraction of pm2p5 sulfate dry aerosol particles in air
aerosol	mass fraction of primary particulate organic matter dry aerosol particles in air
aerosol	mass fraction of sea salt dry aerosol particles expressed as cations in air
aerosol	mass fraction of sea salt dry aerosol particles in air
aerosol	mass fraction of secondary particulate organic matter dry aerosol particles in air
aerosol	mass fraction of sulfate dry aerosol particles in air
aerosol	mass fraction of water in ambient aerosol particles in air
aerosol	mass fraction of water in pm10 ambient aerosol particles in air
aerosol	mass fraction of water in pm2p5 ambient aerosol particles in air
aerosol	mole concentration of nitric acid trihydrate ambient aerosol particles in air
aerosol	mole fraction of nitric acid trihydrate ambient aerosol particles in air
aerosol	number concentration of aerosol particles at stp in air
aerosol	number concentration of ambient aerosol particles in air
aerosol	number concentration of coarse mode ambient aerosol particles in air
aerosol	number concentration of nucleation mode ambient aerosol particles in air
aerosol	number concentration of pm10 aerosol particles in air
aerosol	number concentration of pm2p5 aerosol particles in air
aerosol	optical thickness of atmosphere layer due to ambient aerosol particles
aerosol	relative humidity for aerosol particle size selection
aerosol	single scattering albedo in air due to ambient aerosol particles
aerosol	tendency of atmosphere mass content of ammonium dry aerosol particles due to dry deposition
aerosol	tendency of atmosphere mass content of ammonium dry aerosol particles due to wet deposition
aerosol	tendency of atmosphere mass content of dust dry aerosol particles due to dry deposition
aerosol	tendency of atmosphere mass content of dust dry aerosol particles due to emission
aerosol	tendency of atmosphere mass content of dust dry aerosol particles due to gravitational settling
aerosol	tendency of atmosphere mass content of dust dry aerosol particles due to turbulent deposition
aerosol	tendency of atmosphere mass content of dust dry aerosol particles due to wet deposition
aerosol	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to dry deposition
aerosol	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to emission
aerosol	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to emission from agricultural waste burning
aerosol	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to emission from energy production and distribution
aerosol	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to emission from forest fires
aerosol	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to emission from industrial processes and combustion
aerosol	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to emission from land transport
aerosol	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to emission from maritime transport
aerosol	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to emission from residential and commercial combustion
aerosol	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to emission from savanna and grassland fires
aerosol	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to emission from waste treatment and disposal
aerosol	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to gravitational settling
aerosol	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to turbulent deposition
aerosol	tendency of atmosphere mass content of elemental carbon dry aerosol particles due to wet deposition
aerosol	tendency of atmosphere mass content of mercury dry aerosol due to emission
aerosol	tendency of atmosphere mass content of mercury dry aerosol particles due to dry deposition
aerosol	tendency of atmosphere mass content of mercury dry aerosol particles due to wet deposition
aerosol	tendency of atmosphere mass content of methanesulfonic acid dry aerosol particles due to net chemical production
aerosol	tendency of atmosphere mass content of methanesulfonic acid dry aerosol particles due to wet deposition
aerosol	tendency of atmosphere mass content of nitrate dry aerosol particles due to dry deposition
aerosol	tendency of atmosphere mass content of nitrate dry aerosol particles due to net chemical production
aerosol	tendency of atmosphere mass content of nitrate dry aerosol particles due to wet deposition
aerosol	tendency of atmosphere mass content of particulate organic matter dry aerosol particles due to dry deposition
aerosol	tendency of atmosphere mass content of particulate organic matter dry aerosol particles due to emission
aerosol	tendency of atmosphere mass content of particulate organic matter dry aerosol particles due to gravitational settling
aerosol	tendency of atmosphere mass content of particulate organic matter dry aerosol particles due to net chemical production and emission
aerosol	tendency of atmosphere mass content of particulate organic matter dry aerosol particles due to turbulent deposition
aerosol	tendency of atmosphere mass content of particulate organic matter dry aerosol particles due to wet deposition
aerosol	tendency of atmosphere mass content of particulate organic matter dry aerosol particles expressed as carbon due to dry deposition
aerosol	tendency of atmosphere mass content of particulate organic matter dry aerosol particles expressed as carbon due to emission
aerosol	tendency of atmosphere mass content of particulate organic matter dry aerosol particles expressed as carbon due to emission from agricultural waste burning
aerosol	tendency of atmosphere mass content of particulate organic matter dry aerosol particles expressed as carbon due to emission from energy production and distribution
aerosol	tendency of atmosphere mass content of particulate organic matter dry aerosol particles expressed as carbon due to emission from forest fires
aerosol	tendency of atmosphere mass content of particulate organic matter dry aerosol particles expressed as carbon due to emission from industrial processes and combustion
aerosol	tendency of atmosphere mass content of particulate organic matter dry aerosol particles expressed as carbon due to emission from land transport
aerosol	tendency of atmosphere mass content of particulate organic matter dry aerosol particles expressed as carbon due to emission from maritime transport
aerosol	tendency of atmosphere mass content of particulate organic matter dry aerosol particles expressed as carbon due to emission from residential and commercial combustion
aerosol	tendency of atmosphere mass content of particulate organic matter dry aerosol particles expressed as carbon due to emission from savanna and grassland fires
aerosol	tendency of atmosphere mass content of particulate organic matter dry aerosol particles expressed as carbon due to emission from waste treatment and disposal
aerosol	tendency of atmosphere mass content of particulate organic matter dry aerosol particles expressed as carbon due to wet deposition
aerosol	tendency of atmosphere mass content of pm10 dry aerosol particles due to dry deposition
aerosol	tendency of atmosphere mass content of pm10 dry aerosol particles due to emission
aerosol	tendency of atmosphere mass content of pm10 dry aerosol particles due to wet deposition
aerosol	tendency of atmosphere mass content of pm10 dust dry aerosol particles due to dry deposition
aerosol	tendency of atmosphere mass content of pm10 dust dry aerosol particles due to emission
aerosol	tendency of atmosphere mass content of pm10 dust dry aerosol particles due to wet deposition
aerosol	tendency of atmosphere mass content of pm10 sea salt dry aerosol particles due to dry deposition
aerosol	tendency of atmosphere mass content of pm10 sea salt dry aerosol particles due to emission
aerosol	tendency of atmosphere mass content of pm10 sea salt dry aerosol particles due to wet deposition
aerosol	tendency of atmosphere mass content of pm2p5 dry aerosol particles due to dry deposition
aerosol	tendency of atmosphere mass content of pm2p5 dry aerosol particles due to emission
aerosol	tendency of atmosphere mass content of pm2p5 dry aerosol particles due to wet deposition
aerosol	tendency of atmosphere mass content of pm2p5 dust dry aerosol particles due to dry deposition
aerosol	tendency of atmosphere mass content of pm2p5 dust dry aerosol particles due to emission
aerosol	tendency of atmosphere mass content of pm2p5 dust dry aerosol particles due to wet deposition
aerosol	tendency of atmosphere mass content of pm2p5 sea salt dry aerosol particles due to dry deposition
aerosol	tendency of atmosphere mass content of pm2p5 sea salt dry aerosol particles due to emission
aerosol	tendency of atmosphere mass content of pm2p5 sea salt dry aerosol particles due to wet deposition
aerosol	tendency of atmosphere mass content of primary particulate organic matter dry aerosol particles due to dry deposition
aerosol	tendency of atmosphere mass content of primary particulate organic matter dry aerosol particles due to emission
aerosol	tendency of atmosphere mass content of primary particulate organic matter dry aerosol particles due to wet deposition
aerosol	tendency of atmosphere mass content of sea salt dry aerosol particles due to dry deposition
aerosol	tendency of atmosphere mass content of sea salt dry aerosol particles due to emission
aerosol	tendency of atmosphere mass content of sea salt dry aerosol particles due to gravitational settling
aerosol	tendency of atmosphere mass content of sea salt dry aerosol particles due to turbulent deposition
aerosol	tendency of atmosphere mass content of sea salt dry aerosol particles due to wet deposition
aerosol	tendency of atmosphere mass content of secondary particulate organic matter dry aerosol particles due to dry deposition
aerosol	tendency of atmosphere mass content of secondary particulate organic matter dry aerosol particles due to emission
aerosol	tendency of atmosphere mass content of secondary particulate organic matter dry aerosol particles due to net chemical production
aerosol	tendency of atmosphere mass content of secondary particulate organic matter dry aerosol particles due to wet deposition
aerosol	tendency of atmosphere mass content of sulfate dry aerosol expressed as sulfur due to wet deposition
aerosol	tendency of atmosphere mass content of sulfate dry aerosol particles due to aqueous phase net chemical production
aerosol	tendency of atmosphere mass content of sulfate dry aerosol particles due to dry deposition
aerosol	tendency of atmosphere mass content of sulfate dry aerosol particles due to emission
aerosol	tendency of atmosphere mass content of sulfate dry aerosol particles due to gaseous phase net chemical production
aerosol	tendency of atmosphere mass content of sulfate dry aerosol particles due to wet deposition
aerosol	tendency of atmosphere mass content of sulfate dry aerosol particles expressed as sulfur due to dry deposition
aerosol	tendency of atmosphere mass content of sulfate dry aerosol particles expressed as sulfur due to gravitational settling
aerosol	tendency of atmosphere mass content of sulfate dry aerosol particles expressed as sulfur due to turbulent deposition
aerosol	tendency of atmosphere moles of nitric acid trihydrate ambient aerosol particles
aerosol	tendency of atmosphere moles of sulfate dry aerosol particles
aerosol	tendency of atmosphere number content of aerosol particles due to dry deposition
aerosol	tendency of atmosphere number content of aerosol particles due to gravitational settling
aerosol	tendency of atmosphere number content of aerosol particles due to turbulent depostion
aerosol	tendency of atmosphere number content of aerosol particles due to wet deposition
aerosol	tendency of mass concentration of elemental carbon dry aerosol particles in air due to emission from aviation
aerosol	volume absorption coefficient in air due to dried aerosol particles
aerosol	volume attenuated backwards scattering function in air assuming no aerosol or cloud
aerosol	volume backwards scattering coefficient in air due to dried aerosol particles
aerosol	volume extinction coefficient in air due to ambient aerosol particles
aerosol	volume scattering coefficient in air due to ambient aerosol particles
aerosol	volume scattering coefficient in air due to dried aerosol particles
age	age of sea ice
age	age of stratospheric air
age	age of surface snow
age	sea water age since surface contact
aggregation	tendency of mass fraction of stratiform cloud ice in air due to aggregation
agricultural	carbon content of forestry and agricultural products
agricultural	carbon mass flux into forestry and agricultural products due to anthropogenic land use or land cover change
agricultural	tendency of atmosphere mass content of alcohols due to emission from agricultural production
agricultural	tendency of atmosphere mass content of alcohols due to emission from agricultural waste burning
agricultural	tendency of atmosphere mass content of ammonia due to emission from agricultural production
agricultural	tendency of atmosphere mass content of ammonia due to emission from agricultural waste burning
agricultural	tendency of atmosphere mass content of benzene due to emission from agricultural production
agricultural	tendency of atmosphere mass content of benzene due to emission from agricultural waste burning
agricultural	tendency of atmosphere mass content of butane due to emission from agricultural production
agricultural	tendency of atmosphere mass content of butane due to emission from agricultural waste burning
agricultural	tendency of atmosphere mass content of carbon dioxide expressed as carbon due to emission from forestry and agricultural products
agricultural	tendency of atmosphere mass content of carbon monoxide due to emission from agricultural production
agricultural	tendency of atmosphere mass content of carbon monoxide due to emission from agricultural waste burning
